rice,2,3,225,300
beans,4,6,450,525
pasta,3,4,125,250
biscuits,2,5,450,575
nuts,5,9,125,250
chips,2,4,125,200
chocolate,5,8,250,375
bread,2,3,125,200
mushrooms,2,4,200,325,10
tomatoes,1,2,325,400,10
lettuce,1,2,250,350,10
grapes,4,6,125,225,9
asparagus,2,4,175,275,8
celery,2,3,225,350,8
chicken,10,14,325,425,4
beef,12,17,425,550,3
fish,13,16,375,475,2
yoghurt,10,12,200,325,3
milk,2,3,300,425,3
cheese,4,7,375,450,3
ice cream,8,14,175,250,-20
ice,2,5,225,325,-10
frozen meat,10,14,450,575,-14
frozen vegetable mix,5,8,225,325,-12